"http://en.m.wikipedia.org/wiki/Mahwah,_New_Jersey"		GeographyEdit	13	Year	41.7 (5.3)___48.61 (1,234.7)"	"41.7 (5.3)___48.61 (1,234.7)"	-0.693147181	0
http://en.wikipedia.org/wiki/International_cricket_in_2005%E2%80%9306		November 2005	0	Final Group Stage Table | Team	Sri Lanka___England	Sri Lanka___England	-0.693147181	0
http://fr.wikipedia.org/wiki/Vesoul	Relev??s de temp??ratures	G??ographie	3	Mars	5.4___10.6	5.4___10.6	-0.693147181	0
http://en.wikipedia.org/wiki/Muncie_Police_Department		Fallen Officers	2	Incident	Gunfire___Motorcycle accident___Gunfire	Gunfire___Motorcycle accident	-0.693147181	0
http://cs.wikipedia.org/wiki/Sexu%C3%A1ln%C3%AD_orientace		Zastoupen?? v lidsk?? populaci	2	Chov??n??	2-3 %___1 %	2-3 %___1 %	-0.693147181	2
http://en.wikipedia.org/wiki/IL-2_Sturmovik_(video_game_series)	IL-2 Sturmovik series	Games	2	System	Windows___Windows___Windows___Windows___Windows___Windows___Windows___360, PS3, PSP, NDS___Windows___Windows"	"Windows___360, PS3, PSP, NDS"	-0.693147181	2
http://en.wikipedia.org/wiki/Grandaddy_discography		EPs	2	Label	V2___#157 UK Album CHart	V2___#157 UK Album CHart	-0.693147181	2
http://en.wikipedia.org/wiki/Jackie_Chan_Adventures		Home media	1	Release date	23 October 2001___5 March 2002	23 October 2001___5 March 2002	-0.693147181	0
http://de.wikipedia.org/wiki/Andrea_de_Adamich		Formel-1-Ergebnistabelle	11	8	___AUT___GER 13___	AUT___GER 13	-0.693147181	2
http://fr.wikipedia.org/wiki/Liste_des_tourn%C3%A9es_de_Michael_Jackson		Tourn??es solo	5	Dur??e	9 mois___13 mois	9 mois___13 mois	-0.693147181	0
http://es.wikipedia.org/wiki/Anexo:Equipos_de_f%C3%BAtbol_de_Canarias		Equipos en categor??a profesional	2	Part.	981___42___42	981___42	-0.693147181	0
http://zh.wikipedia.org/zh-sg/%E5%A4%B9%E5%9C%A8%E6%88%91%E5%A5%B3%E5%8F%8B%E5%92%8C%E9%9D%92%E6%A2%85%E7%AB%B9%E9%A9%AC%E9%97%B4%E7%9A%84%E5%90%84%E7%A7%8D%E4%BF%AE%E7%BD%97%E5%9C%BA		????????????	0	??????	#6___#11	#6___#11	-0.693147181	0
http://en.wikipedia.org/wiki/Mike_Wilds		Complete Formula One World Championship results	4	1	ARG Ret___BRA	ARG Ret___BRA	-0.693147181	0
http://en.wikipedia.org/wiki/1992%e2%80%9393_Leicester_City_F.C._season		Results	6	Scorers	Ormondroyd, Thompson___Joachim, Walsh, Thompson"	"Ormondroyd, Thompson___Joachim, Walsh, Thompson"	-0.693147181	0
http://en.wikipedia.org/wiki/2012%E2%80%9313_Szombathelyi_Halad%C3%A1s_season		League Cup	9	Pts	11___5___5	11___5	-0.693147181	0
http://en.wikipedia.org/wiki/IZOD_IndyCar_World_Championships		Past winners	4	Chassis	G-Force___G-Force___G-Force___Lola___Lola	G-Force___Lola	-0.693147181	0
"http://en.wikipedia.org/wiki/Cr%C3%A9py,_Aisne"		Geography	12	Dec	1 (33)___58 (2.3)	1 (33)___58 (2.3)	-0.693147181	0
http://en.wikipedia.org/wiki/Peter_Fox_(footballer)		Career statistics	3	FA Cup | Apps	1___1___26	1___26	-0.693147181	0
http://nl.wikipedia.org/wiki/Barbara_Rittner		Prestatietabel	14	2004	2R___-___-	2R___-	-0.693147181	1
http://tr.wikipedia.org/wiki/2012-13_UEFA_%C5%9Eampiyonlar_Ligi		Grup A??amas??	8	P	10___10___1	10___1	-0.693147181	0
http://de.wikipedia.org/wiki/Bahnbetriebswerk_Ulm		Bw Ulm Rbf	2	L??nge in m	21,5___23"	"21,5___23"	-0.693147181	0
http://fr.wikipedia.org/wiki/Ligue_des_champions_de_l%27UEFA_2010-2011	Classement	Phase de groupes	7	Bp	12___7	12___7	-0.693147181	0
http://en.wikipedia.org/wiki/Aye_Auto		Soundtrack	2	Other notes	Raaga: Vasantha___Traditional Folk	Raaga: Vasantha___Traditional Folk	-0.693147181	2
http://it.wikipedia.org/wiki/Paris-Nice_2012	Classifica generale	Dettagli delle tappe	3	Tempo	a 6""___a 11"""	"a 6""___a 11"""	-0.693147181	0
http://fr.wikipedia.org/wiki/Canton_de_Ch%C3%A2teauroux-Est	Conseillers g??n??raux successifs	Administration	1	Identit??	mars 1992___en cours	mars 1992___en cours	-0.693147181	2
http://en.wikipedia.org/wiki/Daniel_Alaei		World Series of Poker Bracelets	1	Tournament	$10,000 World Championship Omaha Hi/Lo 8-or-better___$10,000 Pot-limit Omaha Championship___$10,000 Pot-limit Omaha Championship"	"$10,000 World Championship Omaha Hi/Lo 8-or-better___$10,000 Pot-limit Omaha Championship"	-0.693147181	0
http://it.wikipedia.org/wiki/Portovecchio		Amministrazione	4	Note	Sindaco___Sindaco___Sindaco___Sindaco___Sindaco___Sindaco___Sindaco___Sindaco___Sindaco___Sindaco___Sindaco___Sindaco___Sindaco___Sindaco___Sindaco___Sindaco___Sindaco___Sindaco___Sindaco___Comm. pref.___Sindaco	Sindaco___Comm. pref.	-0.693147181	2
http://de.wikipedia.org/wiki/Beton%C3%BCberdeckung		Richtlinien	1	Betonnorm	ACI:318___AS:3600	ACI:318___AS:3600	-0.693147181	0
http://sk.wikipedia.org/wiki/Peter_Klouda		Klubov?? hokej	11	A	6___26	6___26	-0.693147181	0
http://en.wikipedia.org/wiki/Danny_Boyle		Filmography by awards	6	BAFTA Nominations	3___11	3___11	-0.693147181	0
http://pl.wikipedia.org/wiki/Dyskografia_Miley_Cyrus		Albumy	5	AUS	10___8	10___8	-0.693147181	0
http://fr.wikipedia.org/wiki/Pablo_Herrera_%28football%29		Statistiques	1	Date	4 juin 2009___19 juillet 2009	4 juin 2009___19 juillet 2009	-0.693147181	0
http://de.wikipedia.org/wiki/Bahnhof_Crimmitschau		Geschichte	3	Tote	2___-	2___-	-0.693147181	1
http://en.wikipedia.org/wiki/2009_Speedway_Grand_Prix_of_Nordic		Heat details	22	19	______1___19	1___19	-0.693147181	0
http://en.wikipedia.org/wiki/Katata_Station		Stations next to Katata	2	??	Rapid Service___Local	Rapid Service___Local	-0.693147181	0
"http://en.wikipedia.org/wiki/Hanna,_Oklahoma"		Geography	13	Year	49.5 (9.7)___42.1 (1,069)"	"49.5 (9.7)___42.1 (1,069)"	-0.693147181	0
